Generation 0: Best Individual = [14.345690723537414, 0.7414810276622554], Fitness = 42.69520902925036
Generation 130: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 131: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 132: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 133: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 134: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 135: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 136: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 137: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 138: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 139: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 140: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 141: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 142: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 143: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 144: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 145: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 146: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 147: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 148: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 149: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 150: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 151: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 152: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 153: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 154: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 155: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 156: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 157: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 158: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 159: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 160: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 161: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 162: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 163: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 164: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 165: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 166: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 167: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 168: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 169: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 170: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 171: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 172: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 173: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 174: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 175: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 176: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 177: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 178: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 179: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 180: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 181: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 182: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 183: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 184: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 185: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 186: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 187: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 188: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 189: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 190: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 191: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 192: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 193: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 194: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 195: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 196: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 197: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 198: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 199: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 200: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 201: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 202: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 203: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 204: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 205: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 206: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 207: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 208: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 209: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 210: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 211: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 212: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 213: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 214: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 215: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 216: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 217: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 218: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 219: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 220: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 221: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 222: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 223: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 224: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 225: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 226: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 227: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 228: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 229: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 230: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 231: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 232: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 233: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 234: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 235: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 236: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 237: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 238: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 239: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 240: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 241: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 242: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 243: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 244: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 245: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 246: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 247: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 248: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 249: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 250: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 251: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 252: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 253: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 254: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 255: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 256: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 257: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 258: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 259: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 260: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 261: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 262: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 263: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 264: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 265: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 266: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 267: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 268: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 269: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 270: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 271: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 272: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 273: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 274: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 275: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 276: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 277: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 278: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 279: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 280: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 281: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 282: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 283: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 284: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 285: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 286: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 287: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 288: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 289: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 290: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 291: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 292: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 293: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 294: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 295: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 296: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 297: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 298: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 299: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 300: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 301: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 302: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 303: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 304: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
